metric,0,1,accuracy,macro avg,weighted avg,model_identifier
precision,0.6888888888888889,0.6741573033707865,0.6815642458100558,0.6815230961298377,0.6816465451704922,logistic_regression
recall,0.6813186813186813,0.6818181818181818,0.6815642458100558,0.6815684315684316,0.6815642458100558,logistic_regression
f1-score,0.6850828729281768,0.6779661016949152,0.6815642458100558,0.681524487311546,0.6815841250593108,logistic_regression
support,91.0,88.0,0.6815642458100558,179.0,179.0,logistic_regression
precision,0.5539568345323741,0.65,0.5754189944134078,0.6019784172661871,0.6011735862706483,naive_bayes
recall,0.8461538461538461,0.29545454545454547,0.5754189944134078,0.5708041958041958,0.5754189944134078,naive_bayes
f1-score,0.6695652173913044,0.40625,0.5754189944134078,0.5379076086956522,0.5401141607966966,naive_bayes
support,91.0,88.0,0.5754189944134078,179.0,179.0,naive_bayes
precision,0.8627450980392157,0.961038961038961,0.9050279329608939,0.9118920295390884,0.911068337949705,xgboost
recall,0.967032967032967,0.8409090909090909,0.9050279329608939,0.903971028971029,0.9050279329608939,xgboost
f1-score,0.9119170984455958,0.896969696969697,0.9050279329608939,0.9044433977076464,0.9045686552619138,xgboost
support,91.0,88.0,0.9050279329608939,179.0,179.0,xgboost
precision,0.8111111111111111,0.797752808988764,0.8044692737430168,0.8044319600499376,0.8045439011291752,svm
recall,0.8021978021978022,0.8068181818181818,0.8044692737430168,0.8045079920079921,0.8044692737430168,svm
f1-score,0.8066298342541437,0.8022598870056498,0.8044692737430168,0.8044448606298967,0.8044814802995768,svm
support,91.0,88.0,0.8044692737430168,179.0,179.0,svm
precision,0.8854166666666666,0.927710843373494,0.9050279329608939,0.9065637550200802,0.9062093345448834,random_forest
recall,0.9340659340659341,0.875,0.9050279329608939,0.904532967032967,0.9050279329608939,random_forest
f1-score,0.909090909090909,0.9005847953216374,0.9050279329608939,0.9048378522062732,0.904909132489256,random_forest
support,91.0,88.0,0.9050279329608939,179.0,179.0,random_forest
precision,0.845360824742268,0.8902439024390244,0.8659217877094972,0.8678023635906462,0.8674262484144164,decision_tree
recall,0.9010989010989011,0.8295454545454546,0.8659217877094972,0.8653221778221778,0.8659217877094972,decision_tree
f1-score,0.8723404255319148,0.8588235294117648,0.8659217877094972,0.8655819774718398,0.865695247551059,decision_tree
support,91.0,88.0,0.8659217877094972,179.0,179.0,decision_tree
